player.id,season_id,season,games,minutes
3265,42,2019_2020,2,120.0582
3308,42,2019_2020,1,94.16191667
3366,42,2019_2020,2,194.5592167
3437,42,2019_2020,1,96.11088333
3477,42,2019_2020,2,111.4957833
3497,42,2019_2020,2,141.2930167
3498,42,2019_2020,2,191.1548
3508,42,2019_2020,1,33.75171667
3509,42,2019_2020,2,188.8112167
3513,42,2019_2020,2,55.2682
3515,42,2019_2020,1,98.27228333
3551,42,2019_2020,1,36.79366667
3610,42,2019_2020,2,131.2429833
3666,42,2019_2020,1,42.05191667
3804,42,2019_2020,1,95.63758333
3991,42,2019_2020,1,97.32398333
4345,42,2019_2020,2,182.5920333
4445,42,2019_2020,1,100.2473167
4447,42,2019_2020,12,550.2927833
4546,42,2019_2020,1,93.06861667
4558,42,2019_2020,1,82.6803
4926,42,2019_2020,2,158.4999667
5194,42,2019_2020,1,62.35711667
5198,42,2019_2020,1,80.82533333
5199,42,2019_2020,1,94.16191667
5200,42,2019_2020,1,7.48645
5201,42,2019_2020,2,188.8112167
5203,42,2019_2020,29,2274.918917
5211,42,2019_2020,23,1954.068683
5213,42,2019_2020,30,2812.08985
5214,42,2019_2020,1,72.2912
5217,42,2019_2020,2,191.6026333
5246,42,2019_2020,25,1949.66645
5259,42,2019_2020,1,98.1592
5463,42,2019_2020,2,30.16906667
5466,42,2019_2020,1,70.61413333
5470,42,2019_2020,28,1618.746183
5477,42,2019_2020,4,277.55045
5485,42,2019_2020,2,188.8112167
5487,42,2019_2020,30,2218.819033
5492,42,2019_2020,13,1011.849083
5503,42,2019_2020,33,3074.623883
5504,42,2019_2020,2,144.9990667
5516,42,2019_2020,1,65.97093333
5539,42,2019_2020,2,188.8112167
5552,42,2019_2020,1,93.17363333
5574,42,2019_2020,2,188.8112167
5575,42,2019_2020,1,87.22403333
5633,42,2019_2020,1,88.46623333
5674,42,2019_2020,1,94.3454
5687,42,2019_2020,2,87.57266667
5688,42,2019_2020,2,79.1812
5696,42,2019_2020,1,98.1592
5718,42,2019_2020,1,35.19943333
5721,42,2019_2020,2,188.8112167
5830,42,2019_2020,1,82.99613333
6297,42,2019_2020,1,81.26548333
6301,42,2019_2020,2,121.9686167
6310,42,2019_2020,1,36.26853333
6330,42,2019_2020,1,34.85103333
6374,42,2019_2020,27,1897.928817
6377,42,2019_2020,2,161.78895
6378,42,2019_2020,2,192.3211167
6379,42,2019_2020,26,2128.459967
6381,42,2019_2020,2,192.3211167
6383,42,2019_2020,2,192.3211167
6387,42,2019_2020,1,59.06986667
6388,42,2019_2020,1,28.1245
6391,42,2019_2020,1,17.48391667
6392,42,2019_2020,1,71.11091667
6393,42,2019_2020,1,71.12965
6397,42,2019_2020,1,97.56188333
6399,42,2019_2020,1,95.63758333
6400,42,2019_2020,1,87.32963333
6401,42,2019_2020,1,60.91145
6402,42,2019_2020,1,35.49756667
6565,42,2019_2020,2,144.68905
6569,42,2019_2020,1,94.3454
6571,42,2019_2020,1,96.09611667
6573,42,2019_2020,2,194.5746333
6580,42,2019_2020,1,87.84341667
6582,42,2019_2020,2,156.3037667
6583,42,2019_2020,1,91.11565
6585,42,2019_2020,1,23.03425
6587,42,2019_2020,1,5.8373
6589,42,2019_2020,1,96.11088333
6590,42,2019_2020,2,191.9135167
6591,42,2019_2020,1,103.3610833
6592,42,2019_2020,2,190.2601167
6594,42,2019_2020,1,15.09076667
6596,42,2019_2020,1,96.11088333
6598,42,2019_2020,2,193.7381167
6599,42,2019_2020,2,193.7381167
6601,42,2019_2020,1,24.36258333
6602,42,2019_2020,1,73.27581667
6603,42,2019_2020,1,94.3454
6604,42,2019_2020,1,51.2223
6605,42,2019_2020,1,94.09736667
6606,42,2019_2020,2,98.8251
6609,42,2019_2020,2,113.7532833
6610,42,2019_2020,2,193.7381167
6611,42,2019_2020,1,42.25511667
6612,42,2019_2020,1,95.59505
6613,42,2019_2020,1,4.995233333
6615,42,2019_2020,1,47.00345
6616,42,2019_2020,2,111.8061167
6618,42,2019_2020,2,191.6911667
6621,42,2019_2020,1,26.70985
6626,42,2019_2020,1,71.63296667
6629,42,2019_2020,1,95.59505
6630,42,2019_2020,1,55.06886667
6632,42,2019_2020,2,155.8268
6634,42,2019_2020,1,97.32398333
6635,42,2019_2020,1,98.75723333
6636,42,2019_2020,1,95.59505
6648,42,2019_2020,1,97.18021667
6649,42,2019_2020,1,97.56188333
6651,42,2019_2020,1,24.88901667
6658,42,2019_2020,1,8.45555
6659,42,2019_2020,1,66.48816667
6667,42,2019_2020,1,97.56188333
6668,42,2019_2020,2,143.1735333
6670,42,2019_2020,1,97.05743333
6673,42,2019_2020,1,97.18021667
6676,42,2019_2020,2,120.52275
6680,42,2019_2020,2,126.8471167
6682,42,2019_2020,2,190.2601167
6684,42,2019_2020,1,94.2392
6685,42,2019_2020,2,124.3508333
6688,42,2019_2020,2,183.2689667
6693,42,2019_2020,1,103.3610833
6698,42,2019_2020,2,185.2961
6699,42,2019_2020,1,26.45096667
6700,42,2019_2020,2,136.5404167
6701,42,2019_2020,2,121.0043833
6705,42,2019_2020,2,185.2961
6707,42,2019_2020,1,78.79025
6708,42,2019_2020,1,93.15515
6709,42,2019_2020,2,185.2961
6710,42,2019_2020,1,93.23093333
6711,42,2019_2020,1,14.3649
6712,42,2019_2020,1,92.14095
6713,42,2019_2020,2,164.7294167
6719,42,2019_2020,1,11.96718333
6721,42,2019_2020,2,43.63895
6722,42,2019_2020,1,97.32398333
6724,42,2019_2020,2,81.23743333
6732,42,2019_2020,2,142.5971667
6735,42,2019_2020,1,75.96863333
6746,42,2019_2020,1,96.11088333
6748,42,2019_2020,1,96.11088333
6754,42,2019_2020,2,166.4501333
6755,42,2019_2020,2,191.5032167
6760,42,2019_2020,2,75.6855
6766,42,2019_2020,2,115.4053667
6768,42,2019_2020,2,194.5746333
6769,42,2019_2020,1,95.8174
6771,42,2019_2020,1,40.09521667
6772,42,2019_2020,1,98.27228333
6773,42,2019_2020,2,165.7840667
6775,42,2019_2020,1,38.54706667
6776,42,2019_2020,1,94.0457
6782,42,2019_2020,2,80.25481667
6784,42,2019_2020,1,94.2392
6788,42,2019_2020,1,97.32398333
